,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
431,wolfgang roth,"['strider', 'leda had a little swan', 'the deadly game', 'the littlest circus', 'portofino', 'le chien du jardinier  les adieux', 'intermezzo', 'les nuits de la colere  feu la mere de madame', 'le misanthrope', 'volpone', 'christophe colomb', 'the good woman of setzuan', 'the azuma kabuki dancers and musicians', 'porgy and bess', 'occupe toi damelie', 'les fausses confidences  baptiste', 'twentieth century', 'the tower beyond tragedy', 'now i lay me down to sleep', 'oh mr meadowbrook', 'yellow jack', 'the wanhope building', 'a pound on demand  androcles and the lion', 'too hot for maneuvers', 'the first million']",25,0,0
432,hazel roy,"['zelda', 'an evening with mike nichols and elaine may', 'once upon a mattress', 'damn yankees', 'gertie', 'to dorothy a son', 'lace on her petticoat']",7,0,0
433,paul rubin,"['doctor zhivago', 'the pirate queen', 'curtains', 'frozen', 'fiddler on the roof', 'wicked', 'dance of the vampires', 'the green bird', 'saturday night fever', 'peter pan', 'peter pan']",11,0,0
434,kevin rupnik,['ghosts'],1,0,0
435,dd ryan,['company'],1,0,0
436,sylvia saal,"['present laughter', 'the day before spring', 'the pirate']",3,0,0
437,anthony sabatino,['toller cranstons the ice show'],1,0,0
438,yves saint laurent,"['des journees entieres dans le arbres', 'zizi']",2,0,0
439,loudon sainthill,"['canterbury tales', 'the right honourable gentleman', 'half a sixpence', 'romeo and juliet', 'tiger at the gates']",5,0,0
440,georgio santangelo,['lena horne the lady and her music'],1,0,0
441,tony sarg,"['naughty marietta', 'alice in wonderland', 'the rose and the ring', 'tony sargs marionettes']",4,0,0
442,arnold scaasi,"['ps i love you', 'from a to z', 'goodbye charlie', 'once more with feeling']",4,0,0
443,george schaefer,"['mixed couples', 'the last of mrs lincoln', 'the great indoors', 'write me a murder', 'the body beautiful', 'the apple cart', 'the southwest corner', 'the teahouse of the august moon', 'the male animal', 'the wild duck', 'idiots delight', 'king richard ii', 'the royal family', 'captain brassbounds conversion', 'the heiress', 'the corn is green', 'she stoops to conquer', 'the linden tree', 'man and superman', 'hamlet', 'hamlet']",21,0,0
444,jeffrey schissler,"['shirley maclaine on broadway', 'wallys cafe', 'whos afraid of virginia woolf', 'rodgers hart']",4,0,0
445,melissa schlachtmeyer,"['bells are ringing', 'swing']",2,0,0
446,douglas w schmidt,"['all my sons', 'the front page', 'sight unseen', 'into the woods', '', 'the civil war', 'band in berlin', 'getting away with murder', 'the school for scandal', 'damn yankees', 'nick nora', 'smile', 'dancing in the end zone', 'porgy and bess', 'frankenstein', 'romantic comedy', 'the most happy fella', 'up in one', 'theyre playing our song', 'runaways', 'stages', 'agamemnon', 'herzl', 'the robber bridegroom', 'let my people come', 'threepenny opera', 'angel street', 'the three sisters', 'the time of your life', 'edward ii', 'the robber bridegroom', 'truckload', 'whos who in hell', 'fame', 'an american millionaire', 'over here', 'measure for measure', 'the three sisters', 'veronicas room', 'a streetcar named desire', 'a streetcar named desire', 'the plough and the stars', 'enemies', 'the country girl', 'twelfth night', 'grease', 'the love suicide at schofield barracks', 'narrow road to the deep north', 'mary stuart', 'antigone', 'an enemy of the people', 'the playboy of the western world', 'the good woman of setzuan', 'operation sidewinder', 'paris is out', 'the time of your life', 'a cry of players']",57,1,2
447,jacques schmidt,['metamorphosis'],1,0,0
448,claudio segovia,"['tango argentino', 'black and blue', 'flamenco puro', 'tango argentino']",4,1,1
449,sonja sekula,['merce cunningham and dance company'],1,0,0
450,maurice sendak,['stages'],1,0,0
451,herbert senn,"['oh coward', 'show boat', 'macbeth', 'a musical jubilee', 'no sex please were british', 'nol cowards sweet potato', 'roar like a dove', 'what makes sammy run', 'double dublin']",9,0,0
452,ben shahn,"['jerome robbins ballet usa', 'jerome robbins ballet usa']",2,0,0
453,irene sharaff,"['jerome robbins broadway', 'the king and i', 'west side story', 'the king and i', 'irene', 'hallelujah baby', 'sweet charity', 'west side story', 'funny girl', 'the girl who came to supper', 'jennie', 'jerome robbins ballet usa', 'do re mi', 'west side story', 'judy garland', 'juno', 'flower drum song', 'jerome robbins ballet usa', 'west side story', 'small war on murray hill', 'happy hunting', 'candide', 'shangri la', 'on your toes', 'by the beautiful sea', 'me and juliet', 'of thee i sing', 'judy garland at the palace two a day', 'a tree grows in brooklyn', 'the king and i', 'michael todds peep show', 'dance me a song', 'montserrat', 'magdalena', 'ballet theatre', 'hamlet', 'the would be gentleman', 'billion dollar baby', 'hamlet', 'lady in the dark', 'count me in', 'star and garter', 'by jupiter', 'banjo eyes', 'sunny river', 'the land is bright', 'lady in the dark', 'all in fun', 'boys and girls together', 'the american way', 'from vienna', 'streets of paris', 'the american way', 'the boys from syracuse', 'id rather be right', 'virginia', 'white horse inn', 'on your toes', 'rosmersholm', 'jubilee', 'parade', 'union pacific', 'crime and punishment', 'the great waltz', 'life begins at', 'union pacific', 'as thousands cheer', 'alice in wonderland', 'romeo and juliet', 'peter pan', 'the cherry orchard', 'the would be gentleman', 'hedda gabler']",73,0,0
454,robert redington sharpe,"['tobacco road', 'tobacco road', 'tobacco road', 'strange orchestra', 'saint wench']",5,0,0
455,jack shearing,"['the suicide', 'goodbye fidel', 'comin uptown', 'king of hearts', 'we interrupt this program', 'over here', 'seesaw', 'tricks', 'via galactica', 'the lincoln mask', 'different times', 'an evening with richard nixon and', 'elizabeth i', 'grease', 'two gentlemen of verona', 'aint supposed to die a natural death', 'no no nanette', 'soon', 'les blancs']",19,0,0
456,hassard short,"['my darlin aida', 'seventeen', 'michael todds peep show', 'make mine manhattan', 'music in my heart', 'carmen jones', 'show boat', 'marinka', 'carmen jones', 'seven lively arts', 'mexican hayride', 'carmen jones', 'lady in the dark', 'something for the boys', 'star and garter', 'banjo eyes', 'lady in the dark', 'the american way', 'from vienna', 'the hot mikado', 'the american way', 'three waltzes', 'between the devil', 'frederika', 'jubilee', 'the great waltz', 'the great waltz', 'roberta', 'as thousands cheer', 'face the music', 'face the music', 'the band wagon', 'threes a crowd', 'sunny days', 'lucky', 'oh please', 'no trespassing', 'the greenwich village follies', 'sunny', 'cradle snatchers', 'the magnolia lady', 'hassard shorts ritz revue', 'peg o my dreams', 'music box revue', 'music box revue', 'music box revue', 'the rose girl', 'her family tree', 'honeydew', 'first is last', 'east is west', 'some one in the house', 'the basker', 'the unchastened woman', 'just as well', 'peg o my heart', 'betsy', 'smith', 'the dollar mark', 'the man from home', 'nurse marjorie', 'the toast of the town', 'the proud laird', 'mrs battles bath', 'man proposes', 'glad of it', 'the stubbornness of geraldine', 'the second in command']",68,0,0
457,harry silverglat,['oh calcutta'],1,0,0
458,stanley simmons,"['the king and i', 'lena horne the lady and her music', 'brigadoon', 'the music man', 'the king and i', 'shirley maclaine', 'so long', 'rodgers hart', 'the boy friend', 'come summer', 'theres a girl in my soup', 'west side story', 'heres love', 'brigadoon', 'come blow your horn', 'camelot', 'finians rainbow', 'greenwillow', 'say darling', 'waiting for godot', 'lil abner', 'the sleeping prince', 'waiting for godot', 'six characters in search of an author', 'the carefree tree', 'almost crazy', 'phoenix', 'quadrille', 'twos company', 'pal joey', 'out of this world', 'the rape of lucretia', 'love life', 'allegro', 'brigadoon', 'show boat']",36,0,0
459,lee simonson,"['joan of lorraine', 'foxhole in the parlor', 'the streets are guarded', 'lorelei', 'wine of choice', 'madame bovary', 'amphitryon', 'virginia', 'the masque of kings', 'prelude to exile', 'idiots delight', 'end of summer', 'call it a day', 'parade', 'the simpleton of the unexpected isles', 'rain from heaven', 'a sleeping clergyman', 'jigsaw', 'they shall not die', 'days without end', 'the school for husbands', 'the mask and the face', 'american dream', 'red planet', 'the good earth', 'elizabeth the queen', 'dynamo', 'marco millions', 'the road to rome', 'arms and the man', 'sweet little devil', 'tangerine', 'liliom', 'the power of darkness']",34,0,0
460,christian siriano,['my love letter to broadway'],1,0,0
461,noble sissle,"['shuffle along or the making of the musical sensation of', 'sally marrand her escorts', 'big deal', 'eubie', 'bubbling brown sugar', 'shuffle along', 'harlem cavalcade', 'shuffle along', 'the chocolate dandies', 'andre charlots revue of', 'elsie', 'shuffle along']",12,0,0
462,tom skelton,"['shakespeare for my father', 'park your car in harvard yard', 'a few good men', 'lillian', 'the iceman cometh', 'nureyev and friends', 'death of a salesman', 'peg', 'mame', 'dance a little closer', 'show boat', 'seven brides for seven brothers', 'little johnny jones', 'the west side waltz', 'camelot', 'lena horne the lady and her music', 'can can', 'brigadoon', 'camelot', 'filumena', 'oklahoma', 'peter pan', 'king richard iii', 'the kingfisher', 'the november people', 'the king and i', 'romeo and juliet', 'caesar and cleopatra', 'days in the trees', 'guys and dolls', 'legend', 'the lady from the sea', 'a matter of gravity', 'the glass menagerie', 'a musical jubilee', 'death of a salesman', 'the first breeze of summer', 'all gods chillun got wings', 'shenandoah', 'nureyev and friends', 'wheres charley', 'absurd person singular', 'gigi', 'the waltz of the toreadors', 'status quo vadis', 'purlie', 'the secret affairs of mildred wild', 'the lincoln mask', 'the selling of the president', 'lovely ladies kind gentlemen', 'bob and ray  the two and only', 'purlie', 'coco', 'king henry v', 'indians', 'a patriot for me', 'come summer', 'does a tiger wear a necktie', 'jimmy shine', 'mike downstairs', 'zizi', 'oh dad poor dad mammas hung you in the closet and im feelin so sad']",62,0,0
463,marjorie slaiman,"['working', 'a history of the american film', 'zalmen or the madness of god', 'moonchildren', 'dance of death', 'indians']",6,0,0
464,mia slavenska,['slavenska franklin co'],1,0,0
465,yakov smirnoff,['as long as we both shall laugh'],1,0,0
466,dick smith,"['dear world', 'zorba', 'wait until dark', 'baker street']",4,0,0
467,oliver smith,"['hello dolly', 'jerome robbins broadway', 'the golden age', '', 'a talent for murder', 'my fair lady', 'mixed couples', 'lunch hour', 'clothes for a summer hotel', 'west side story', 'carmelina', 'first monday in october', 'hello dolly', 'do you turn somersaults', 'the heiress', 'my fair lady', 'the royal family', 'hello dolly', 'dont call back', 'all over town', 'gigi', 'the women', 'tricks', 'the little black book', 'lost in the stars', 'four on a garden', 'lovely ladies kind gentlemen', 'last of the red hot lovers', 'jimmy', 'indians', 'a patriot for me', 'come summer', 'but seriously', 'dear world', 'the exercise', 'weekend', 'plaza suite', 'darling of the day', 'how now dow jones', 'song of the grasshopper', 'illya darling', 'breakfast at tiffanys', 'the star spangled girl', 'i do i do', 'the best laid plans', 'cactus flower', 'on a clear day you can see forever', 'a very rich woman', 'the odd couple', 'baker street', 'kelly', 'poor richard', 'slow dance on the killing ground', 'bajour', 'luv', 'i was dancing', 'ben franklin in paris', 'beekman place', 'west side story', 'dylan', 'hello dolly', 'the chinese prime minister', 'the girl who came to supper', '', 'barefoot in the park', 'children from their games', 'natural affection', 'brigadoon', 'tiger tiger burning bright', 'lord pengo', 'come on strong', 'eddie fisher at the winter garden', 'romulus', 'the night of the iguana', 'daughter of silence', 'the gay life', 'sail away', 'becket', 'mary mary', 'show girl', 'camelot', 'under the yum yum tree', 'the unsinkable molly brown', 'becket', 'a taste of honey', 'west side story', 'goodbye charlie', 'five finger exercise', 'the sound of music', 'take me along', 'chri', 'destry rides again', 'juno', 'flower drum song', 'say darling', 'winesburg ohio', 'present laughter', 'nude with violin', 'time remembered', 'jamaica', 'west side story', 'carousel', 'brigadoon', 'a visit to a small planet', 'eugenia', 'a clearing in the woods', 'candide', 'auntie mame', 'mr wonderful', 'my fair lady', 'will success spoil rock hunter', 'on your toes', 'carousel', 'the burning glass', 'in the summer house', 'at home with ethel waters', 'carnival in flanders', 'pal joey', 'paint your wagon', 'bless you all', 'brigadoon', 'gentlemen prefer blondes', 'miss liberty', 'along fifth avenue', 'me and molly', 'look ma im dancin', 'topaze', 'high button shoes', 'brigadoon', 'beggars holiday', 'no exit', 'ballet theatre', 'billion dollar baby', 'on the town', 'rhapsody', 'the perfect marriage', 'the new moon', 'rosalinda']",138,1,23
468,otto soglow,['the illustrators show'],1,0,0
469,jonathan solari,"['prelude to a kiss', 'souvenir', 'latinologues', 'the constant wife']",4,0,0
470,pearl somner,"['', 'the world of sholom aleichem', 'whose life is it anyway', 'last licks', 'whose life is it anyway', 'angel', 'the trip back down', 'herzl', 'we interrupt this program', 'the rocky horror show', 'shenandoah', 'ulysses in nighttown', 'but seriously', 'the ninety day mistress']",14,0,0
471,janusz sosnowski,['metro'],1,0,0
472,sergei soudeikine,"['chauve souris', 'forbidden melody', 'porgy and bess', 'reminiscence', 'the chinese nightingale', 'new faces of', 'chauve souris', 'chauve souris', 'chauve souris', 'chauve souris', 'chauve souris', 'revue russe', 'chauve souris', 'chauve souris']",14,0,0
473,raymond sovey,"['all the way home', 'look after lulu', 'patate', 'under milk wood', 'simply heavenly', 'the reluctant debutante', 'the great sebastians', 'the chalk garden', 'witness for the prosecution', 'the living room', 'one bright day', 'gigi', 'remains to be seen', 'gramercy ghost', 'the green bay tree', 'four twelves are', 'ring round the moon', 'the cocktail party', 'the traitor', 'edward my son', 'grandmas diary', 'the hallams', 'harvest of years', 'for love or money', 'the heiress', 'i gotta get out', 'parlor story', 'love goes to press', 'temper the wind', 'wonderful journey', 'this too shall pass', 'antigone', 'apple of his eye', 'the mermaids singing', 'state of the union', 'the rich full life', 'therese', 'the ryan girl', 'a place of our own', 'and be my love', 'the hasty heart', 'sleep my pretty one', 'soldiers wife', 'lower north', 'for keeps', 'jackpot', 'over', 'feathers in a gale', 'outrageous fortune', 'another love story', 'murder without crime', 'the vagabond king', 'tomorrow the world', 'flare path', 'counsellor at law', 'the damask cheek', 'strip for action', 'broken journey', 'guest in the house', 'letters to lucerne', 'ring around elizabeth', 'the walrus and the carpenter', 'village green', 'the happy days', 'your loving son', 'boudoir', 'arsenic and old lace', 'delicate story', 'jupiter laughs', 'grey farm', 'ladies in retirement', 'the woman brown', 'miss swan expects', 'knights of song', 'dance night', 'oscar wilde', 'once is enough', 'our town', 'if i were you', 'love of women', 'french without tears', 'babes in arms', 'the amazing dr clitterhouse', 'yes my darling daughter', 'and now good bye', 'promise', 'tovarich', 'star spangled', 'sweet aloes', 'alice takat', 'libel', 'may wine', 'bright star', 'most of the game', 'lifes too short', 'the dominant sex', 'the distant shore', 'the eldest', 'fly away home', 'the petrified forest', 'portrait of gilbert', 'post road', 'the distaff side', 'ragged army', 'oliver oliver', 'the wooden slipper', 'she loves me not', 'doctor monica', 'her masters voice', 'shooting star', 'lone valley', 'conquest', 'one sunday afternoon', 'honeymoon', 'gay divorce', 'men must fight', 'black sheep', 'i loved you wednesday', 'counsellor at law', 'here today', 'hey nonny nonny', 'counsellor at law', 'green grow the lilacs', 'the vinegar tree', 'twelfth night', 'strike up the band', 'top speed', 'animal crackers', 'three cheers', 'the front page', 'shes my baby', 'the mikado', 'dear sir', 'a burgomaster of belgium']",134,1,1
474,spencer co,['see saw'],1,0,0
475,john spradbery,['flowers'],1,0,0
476,franca squarciapino,['can can'],1,0,0
477,saul steinberg,"['jerome robbins ballet usa', 'jerome robbins ballet usa']",2,0,0
478,ernst stern,"['as you like it', 'king lear', 'young madame conti', 'white horse inn', 'sumurun']",5,0,0
479,florine stettheimer,"['four saints in three acts', 'four saints in three acts']",2,0,0
480,melly still,['coram boy'],1,0,0
481,michel stuart,"['the tap dance kid', 'nine', 'a day in hollywood  a night in the ukraine', 'summer brave', 'a chorus line', 'little me', 'the gay life', 'milk and honey', 'the conquering hero', 'beg borrow or steal']",10,0,0
482,patricia quinn stuart,"['the lincoln mask', 'lost in the stars', 'the me nobody knows', 'a cry of players', 'the cuban thing', 'plaza suite', 'the little foxes']",7,0,0
483,charles suppon,"['legs diamond', 'up in one']",2,0,0
484,valeska suratt,"['spice of', 'the red rose', 'the girl with the whooping cough', 'hip hip hooray', 'the belle of mayfair']",5,0,0
485,josef svoboda,"['coquelico', 'jumpers']",2,0,0
486,gloria swanson,"['butterflies are free', 'nina', 'twentieth century', 'bathsheba', 'a goose for the gander']",5,0,0
487,martha swope,"['damn yankees', 'my fair lady', 'laughter on the', 'mixed emotions', 'white liars black comedy', 'kiss of the spider woman', 'candida', 'anna christie', 'the show off', 'the real inspector hound and the fifteen minute hamlet', 'falsettos', 'guys and dolls', 'catskills on broadway', 'on borrowed time', 'getting married', 'our countrys good', 'lost in yonkers', 'shadowlands', 'accomplice', 'truly blessed', 'miss margaridas way', 'city of angels', 'grand hotel', 'meet me in st louis', 'orpheus descending', 'starmites', 'chu chem', 'metamorphosis', 'lend me a tenor', 'jerome robbins broadway', 'hizzoner', 'cafe crown', 'black and blue', 'legs diamond', 'aint misbehavin', 'checkmates', 'chess', 'the gospel at colonus', 'serious money', 'into the woods', 'late nite comic', 'roza', 'broadway', 'sleight of hand', 'pygmalion', 'a month of sundays', 'the musical comedy murders of', 'blithe spirit', 'starlight express', 'stardust', 'broadway bound', 'rags', 'cuba his teddy bear', 'arsenic and old lace', 'long days journey into night', 'social security', 'big deal', 'jerome kern goes to hollywood', 'benefactors', 'wind in the willows', 'jerrys girls', 'hay fever', 'the mystery of edwin drood', 'the boys of winter', 'im not rappaport', 'the iceman cometh', 'the odd couple', 'arent we all', 'big river', 'grind', 'leader of the pack', 'biloxi blues', 'joe egg', 'pack of lies', 'harrigan n hart', 'dancing in the end zone', 'home front', 'the three musketeers', 'alone together', 'cyrano de bergerac', 'much ado about nothing', 'quilters', 'hurlyburly', 'the babe', 'end of the world', 'sunday in the park with george', 'oliver', 'beethovens tenth', 'shirley maclaine on broadway', 'the human comedy', 'open admissions', 'the real thing', 'peg', 'noises off', 'baby', 'doonesbury', 'marilyn', 'brothers', 'zorba', 'the corn is green', 'la cage aux folles', 'passion', 'private lives', 'total abandon', 'teaneck tanzi the venus flytrap', 'the man who had three arms', 'k', 'brighton beach memoirs', 'marcel marceau on broadway', 'a view from the bridge', 'plenty', 'whodunnit', 'alice in wonderland', 'almost an eagle', 'steaming', 'cats', 'a dolls life', 'your arms too short to box with god', 'cleavage', 'do black patent leather shoes really reflect up', 'master haroldand the boys', 'little johnny jones', 'the world of sholom aleichem', 'special occasions', 'othello', 'joseph and the amazing technicolor dreamcoat', 'little me', 'the little prince and the aviator', 'grown ups', 'the first', 'merrily we roll along', 'mass appeal', 'oh brother', 'ned and jack', 'crimes of the heart', 'einstein and the polar bear', 'my fair lady', 'the supporting cast', 'wallys cafe', 'lena horne the lady and her music', 'it had to be you', 'the moony shapiro songbook', 'copperfield', 'fools', 'woman of the year', 'lolita', 'sophisticated ladies', 'heartland', 'the pirates of penzance', 'frankenstein', 'onward victoria', 'perfectly frank', 'lunch hour', 'fifth of july', 'brigadoon', 'camelot', 'your arms too short to box with god', 'home', 'a day in hollywood  a night in the ukraine', 'mornings at seven', 'i ought to be in pictures', 'horowitz and mrs washington', 'children of a lesser god', 'charlotte', 'whose life is it anyway', 'west side story', 'filumena', 'the lady from dubuque', 'oklahoma', 'last licks', 'romantic comedy', 'devour the snow', 'once a catholic', 'evita', 'peter pan', 'but never jam today', 'i remember mama', 'whose life is it anyway', 'faith healer', 'spokesong', 'theyre playing our song', 'monteith rand', 'a broadway musical', 'man and superman', 'platinum', 'gorey stories', 'the crucifer of blood', 'once in a lifetime', 'the american dance machine', 'tribute', 'runaways', 'aint misbehavin', 'the mighty gents', 'diversions and delights', 'a history of the american film', 'dancin', 'timbuktu', 'on the twentieth century', 'saint joan', 'chapter two', 'the merchant', 'dracula', 'tartuffe', 'the importance of being earnest', 'happy end', 'annie', 'i love my wife', 'ladies at the alamo', 'romeo and juliet', 'a party with betty comden adolph green', 'the night of the iguana', 'herzl', 'dont step on my olive branch', 'oh calcutta', 'i have a dream', 'rex', 'knock knock', 'a chorus line', 'same time next year', 'the wiz', 'wheres charley', 'in praise of love', 'the national health', 'scapino', 'cat on a hot tin roof', 'gypsy', 'scapino', 'my fat friend', 'lorelei', 'veronicas room', 'a streetcar named desire', 'the merchant of venice', 'the plough and the stars', 'the sunshine boys', 'enemies', 'sugar', 'four on a garden', 'hay fever']",238,0,0
488,anthea sylbert,"['the real thing', 'the prisoner of second avenue']",2,0,0
489,richard sylbert,"['the prisoner of second avenue', 'the egghead']",2,0,0
490,julia sze,"['the girl in the freudian slip', 'love in e flat', 'help stamp out marriage', 'drink to me only', 'the man', 'death of a salesman', 'hold it', 'angel in the wings', 'command decision']",9,0,0
491,alan tagg,"['lettice and lovage', 'corpse', 'whose life is it anyway', 'whose life is it anyway', 'the kingfisher', 'the constant wife', 'london assurance', 'black comedy  white lies', 'all in good time', 'the entertainer', 'look back in anger']",11,1,1
492,ron talsky,['i love my wife'],1,0,0
493,noel taylor,"['the sunshine boys', 'the gin game', 'the glass menagerie', 'lucifers child', 'mixed couples', 'diversions and delights', 'paul robeson', 'chapter two', 'the night of the iguana', 'the norman conquests living together', 'the norman conquests round and round the garden', 'the norman conquests table manners', 'the last of mrs lincoln', 'mourning becomes electra', 'a funny thing happened on the way to the forum', 'ovids metamorphoses', 'brightower', 'the mundy scheme', 'we bombed in new haven', 'lovers', 'song of the grasshopper', 'dr cooks garden', 'we have always lived in the castle', 'the loves of cass mcguire', 'slapstick tragedy', 'the great indoors', 'and things that go bump in the night', 'hughie', 'what makes sammy run', 'marathon', 'one flew over the cuckoos nest', 'strange interlude', 'the riot act', 'great day in the morning', 'general seeger', 'the night of the iguana', 'write me a murder', 'a shot in the dark', 'everybody loves opal', 'little moon of alban', 'the wall', 'tall story', 'comes a day', 'the body beautiful', 'the square root of wonderful', 'good as gold', 'auntie mame', 'the apple cart', 'time limit', 'no time for sergeants', 'festival', 'the burning glass', 'in the summer house', 'the ladies of the corridor', 'the teahouse of the august moon', 'the grey eyed people', 'dial m for murder', 'bernardine', 'first lady', 'the male animal', 'tovarich', 'the male animal', 'one bright day', 'the wild duck', 'stalag', 'twentieth century', 'alice in wonderland', 'the haven', 'reunion in vienna']",69,0,0
494,julie taymor,"['m butterfly', 'spider man turn off the dark', 'the green bird', 'the lion king', 'juan darien']",5,1,1
495,rouben ter arutunian,"['goodbye fidel', 'the lady from dubuque', 'nureyev', 'days in the trees', 'the lady from the sea', 'goodtime charley', 'all over', 'the dozens', 'martha graham and dance company', 'im solomon', 'exit the king', 'ivanov', 'the devils', 'the deputy', 'the milk train doesnt stop here anymore', 'arturo ui', 'hot spot', 'a passage to india', 'donnybrook', 'advise and consent', 'redhead', 'maria golovin', 'who was that lady i saw you with', 'new girl in town', 'the duchess of malfi', 'the taming of the shrew', 'measure for measure']",27,1,3
496,the boston museum,['arrah na pogue'],1,0,0
497,the kinetograph company,"['the vanderbilt cup', 'the vanderbilt cup']",2,0,0
498,franciszka themerson,['threepenny opera'],1,0,0
499,howard thies,['salome'],1,0,0
500,michael thomas,['checking out'],1,0,0
501,frank thompson,"['the country girl', 'murderous angels', 'wild and wonderful', 'unlikely heroes', 'frank merriwell', 'the gingerbread lady', 'a place for polly', 'the rose tattoo', 'annie get your gun', 'the zulu and the zayda', 'guys and dolls', 'never live over a pretzel factory', 'the irregular verb to love', 'pal joey', 'photo finish', 'harold', 'the perfect setup', 'how to make a man', 'viva madison avenue', 'the tenth man', 'moonbirds', 'present laughter', 'nude with violin', 'natures way', 'the pajama game', 'his and hers', 'kismet', 'the little hut', 'my darlin aida', 'seventeen', 'wheres charley', 'out of this world', 'great to be alive', 'gentlemen prefer blondes', 'the browning version  harlequinade', 'along fifth avenue', 'wheres charley', 'the linden tree', 'high button shoes', 'louisiana lady', 'brigadoon', 'happy birthday']",42,0,0
502,brian thomson,"['priscilla queen of the desert', 'dame edna back with a vengeance', 'the king and i', 'the rocky horror show']",4,1,1
503,mary c thornton,"['a little more magic', 'a little like magic']",2,0,0
504,cleon throckmorton,"['across the board on tomorrow morning and talking to you', 'nathan the wise', 'ghost for sale', 'love in my fashion', 'curtain call', 'the lights o london', 'bitter stream', 'in heaven and earth', 'a woman of destiny', 'searching for the sun', 'jefferson davis', 'i want a policeman', 'noah', 'bitter oleander', 'prisoners of war', 'creeping fire', 'the lord blesses the bishop', 'peace on earth', 'sing and whistle', 'the gods we make', 'peace on earth', 'birthright', 'is life worth living', 'eight bells', 'give us this day', 'another language', 'the comic artist', 'threepenny opera', 'run little chillun', 'alien corn', 'take a chance', 'chrysalis', 'the dark hours', 'rendezvous', 'criminal at large', 'the other one', 'change your luck', 'the stairs', 'burlesque', 'arabesque', 'a mans man', 'outside looking in', 'engaged', 'all gods chillun got wings', 'the greenwich village follies']",45,0,0
505,james tilton,"['you cant take it with you', 'twice around the park', 'of the fields lately', 'vieux carr', 'comedians', 'dont step on my olive branch', 'oh calcutta', 'boy meets girl', 'secret service', 'they knew what they wanted', 'a memory of two mondays', 'seascape', 'the merchant of venice', 'the grass harp', 'the school for wives', 'harvey', 'private lives', 'oh calcutta', 'hamlet', 'cock a doodle dandy', 'the misanthrope', 'the cocktail party', 'the show off', 'the cherry orchard', 'exit the king', 'the show off', 'pantagleize', 'war and peace', 'you cant take it with you', 'the wild duck', 'we comrades three', 'right you are if you think you are', 'the school for scandal', 'you cant take it with you']",34,0,0
506,jennifer tipton,"['to kill a mockingbird', 'a dolls house part', 'the testament of mary', 'wrong mountain', 'james joyces the dead', 'in the summer house', 'la bte', 'jerome robbins broadway', 'ah wilderness', 'long days journey into night', 'singin in the rain', 'whoopi goldberg', 'hurlyburly', 'alice in wonderland', 'the wake of jamey foster', 'sophisticated ladies', 'the pirates of penzance', 'lunch hour', 'billy bishop goes to war', 'bosoms and neglect', 'the goodbye people', 'runaways', 'the cherry orchard', 'agamemnon', 'happy end', 'the cherry orchard', 'for colored girls who have considered suicide  when the rainbow is enuf', 'the paul taylor dance company', 'rex', 'push comes to shove', 'murder among friends', 'habeas corpus', 'the misanthrope', 'dreyfus in rehearsal', 'our town']",35,0,0
507,isabel toledo,['after midnight'],1,0,0
508,carl toms,"['an ideal husband', 'night and day', 'habeas corpus', 'travesties', 'sherlock holmes', 'scapino', 'scapino', 'vivat vivat regina', 'sleuth', 'the dark is light enough']",10,1,1
509,bill smith travilla,['judy garland at home at the palace'],1,0,0
510,pauline trigre,"['the lady from dubuque', 'the exercise']",2,0,0
511,james trittipo,"['a funny thing happened on the way to the forum', 'on the town', 'ovids metamorphoses', 'the captains and the kings']",4,0,0
512,george tsypin,"['spider man turn off the dark', 'the little mermaid', 'in the summer house']",3,0,0
513,richard walton tully,"['luana', 'the right to strike', 'keep her smiling', 'the masquerader', 'the flame', 'omar the tentmaker', 'the bird of paradise', 'the rose of the rancho', 'the rose of the rancho', 'the rose of the rancho']",10,0,0
514,ret turner,['vintage'],1,0,0
515,united scenic studios,['sally irene and mary'],1,0,0
516,joseph urban,"['melody', 'the good fairy', 'music in the air', 'show boat', 'hot cha', 'the good fairy', 'george whites scandals', 'ziegfeld follies of', 'smiles', 'princess charming', 'flying high', 'ripples', 'sons o guns', 'show girl', 'ziegfeld midnight frolic', 'polly', 'whoopee', 'treasure girl', 'the three musketeers', 'rosalie', 'show boat', 'golden dawn', 'ziegfeld follies of', 'rio rita', 'yours truly', 'betsy', 'the wild rose', 'no foolin', 'song of the flame', 'ziegfeld follies of', 'sally', 'ziegfeld follies of', 'the yankee princess', 'ziegfeld follies of', 'the love letter', 'the merry widow', 'ziegfeld follies of', 'ziegfeld midnight frolic', 'sally', 'ziegfeld follies of', 'smilin through', 'morris gests midnight whirl', 'the rose of china', 'apple blossoms', 'ziegfeld nine oclock review', 'ziegfeld follies of', 'the canary', 'glorianna', 'head over heels', 'ziegfeld midnight frolic', 'ziegfeld follies of', 'the rainbow girl', 'miss', 'jack olantern', 'the riviera girl', 'ziegfeld follies of', 'nju', 'dance and grow thin', 'the century girl', 'miss springtime', 'flora bella', 'ziegfeld follies of', 'caliban of the yellow sands', 'pom pom', 'around the map', 'ziegfeld midnight frolic', 'ziegfeld follies of']",67,0,0
